sid,name,units
5,Average annual rainfall,mm
rank,country,datum
1,Colombia,3240
2,São Tomé and Príncipe,3200
3,Papua New Guinea,3142
4,Solomon Islands,3028
5,Panama,2928
6,Costa Rica,2926
7,Samoa,2880
8,Malaysia,2875
9,Brunei,2722
10,Indonesia,2702
11,Bangladesh,2666
12,Fiji,2592
13,Sierra Leone,2526
14,Singapore,2497
15,Liberia,2391
16,Guyana,2387
17,Grenada,2350
18,Philippines,2348
19,Suriname,2331
20,Seychelles,2330
21,Saint Lucia,2301
22,Nicaragua,2280
23,Ecuador,2274
24,Bhutan,2200
25,Trinidad and Tobago,2200
26,Equatorial Guinea,2156
27,Myanmar,2091
28,Dominica,2083
29,Puerto Rico,2054
30,Jamaica,2051
31,Venezuela,2044
32,Mauritius,2041
33,Vanuatu,2000
34,Guatemala,1996
35,Honduras,1976
36,Maldives,1972
37,Iceland,1940
38,Cambodia,1904
39,Laos,1834
40,Gabon,1831
41,Vietnam,1821
42,El Salvador,1784
43,Brazil,1761
44,Peru,1738
45,New Zealand,1732
46,Sri Lanka,1712
47,Belize,1705
48,Japan,1668
49,Guinea,1651
50,Congo,1646
51,Thailand,1622
52,Cameroon,1604
53,Saint Vincent and the Grenadines,1583
54,Guinea-Bissau,1577
55,DR Congo,1543
56,Switzerland,1537
57,Chile,1522
58,Madagascar,1513
59,East Timor,1500
60,Nepal,1500
61,Albania,1485
62,Haiti,1440
63,Saint Kitts and Nevis,1427
64,Barbados,1422
65,Norway,1414
66,Dominican Republic,1410
67,Ivory Coast,1348
68,Central African Republic,1343
69,Cuba,1335
70,Uruguay,1300
71,Bahamas,1292
72,Burundi,1274
73,South Korea,1274
74,United Kingdom,1220
75,Rwanda,1212
76,Ghana,1187
77,Malawi,1181
78,Uganda,1180
79,Togo,1168
80,Slovenia,1162
81,Nigeria,1150
82,Bolivia,1146
83,Paraguay,1130
84,Ireland,1118
85,Croatia,1113
86,Austria,1110
87,India,1083
88,Tanzania,1071
89,North Korea,1054
90,Benin,1039
91,Mozambique,1032
92,Antigua and Barbuda,1030
93,Bosnia and Herzegovina,1028
94,Georgia,1026
95,Zambia,1020
96,Angola,1010
97,Luxembourg,934
98,Comoros,900
99,South Sudan,900
100,France,867
101,Portugal,854
102,Ethiopia,848
103,Belgium,847
104,Gambia,836
105,Italy,832
106,Slovakia,824
107,Eswatini,788
108,Lesotho,788
109,Netherlands,778
110,Mexico,758
111,Burkina Faso,748
112,United States,715
113,Denmark,703
114,Germany,700
115,Tajikistan,691
116,Senegal,686
117,Czech Republic,677
118,Latvia,667
119,Lebanon,661
120,Zimbabwe,657
121,Lithuania,656
122,Greece,652
123,China,645
124,Romania,637
125,Spain,636
126,Kenya,630
127,Estonia,626
128,Sweden,624
129,North Macedonia,619
130,Belarus,618
131,Bulgaria,608
132,Poland,600
133,Turkey,593
134,Argentina,591
135,Hungary,589
136,Ukraine,565
137,Armenia,562
138,Malta,560
139,Canada,537
140,Finland,536
141,Australia,534
142,Kyrgyzstan,533
143,Cyprus,498
144,South Africa,495
145,Pakistan,494
146,Russia,460
147,Moldova,450
148,Azerbaijan,447
149,Israel,435
150,Botswana,416
151,Palestine,402
152,Eritrea,384
153,Morocco,346
154,Afghanistan,327
155,Chad,322
156,Namibia,285
157,Mali,282
158,Somalia,282
159,Syria,252
160,Kazakhstan,250
161,Sudan,250
162,Mongolia,241
163,Cape Verde,228
164,Iran,228
165,Djibouti,220
166,Iraq,216
167,Tunisia,207
168,Uzbekistan,206
169,Yemen,167
170,Turkmenistan,161
171,Niger,151
172,Oman,125
173,Kuwait,121
174,Jordan,111
175,Mauritania,92
176,Algeria,89
177,Bahrain,83
178,United Arab Emirates,78
179,Qatar,74
180,Saudi Arabia,59
181,Libya,56
182,Egypt,18
