sid,name,units,count
2,Highest average elevation,m,
rank,country,datum,
1,Bhutan,3280,
2,Nepal,3265,
3,Tajikistan,3186,
4,Kyrgyzstan,2989,
5,Lesotho,2161,
6,Andorra,1996,
7,Afghanistan,1884,
8,Chile,1871,
9,China,1840,
10,Armenia,1792,
11,Rwanda,1598,
12,Mongolia,1580,
13,Peru,1555,
14,Burundi,1504,
15,Georgia,1432,
16,Switzerland,1350,
17,Ethiopia,1330,
18,Iran,1305,
19,Lebanon,1250,
20,Bolivia,1192,
21,Namibia,1141,
22,Turkey,1141,
23,Zambia,1138,
24,Ecuador,1117,
25,Angola,1112,
26,Mexico,1111,
27,Uganda,1100,
28,Montenegro,1086,
29,South Africa,1034,
30,Tanzania,1018,
31,Botswana,1013,
32,Yemen,999,
33,Zimbabwe,961,
34,Jordan,920,
35,Austria,910,
36,Morocco,909,
37,Pakistan,900,
38,Eritrea,853,
39,Algeria,800,
40,Malawi,779,
41,Kenya,762,
42,United States,760,
43,Guatemala,759,
44,Costa Rica,746,
45,North Macedonia,741,
46,DR Congo,726,
47,Laos,710,
48,Albania,708,
49,Myanmar,702,
50,Honduras,684,
51,Cameroon,667,
52,Papua New Guinea,667,
53,Saudi Arabia,665,
54,Spain,660,
55,Central African Republic,635,
56,India,621,
57,Russia,600,
58,Argentina,595,
59,Colombia,593,
60,Equatorial Guinea,577,
61,Sudan,568,
62,Iceland,557,
63,Chad,543,
64,Italy,538,
65,Malaysia,538,
66,Syria,514,
67,Israel,508,
68,Bosnia and Herzegovina,500,
69,Greece,498,
70,Slovenia,492,
71,Canada,487,
72,Brunei,478,
73,Niger,474,
74,Serbia,473,
75,Guinea,472,
76,Bulgaria,470,
77,Haiti,470,
78,Norway,460,
79,Slovakia,458,
80,Uzbekistan,450,
81,Venezuela,450,
82,El Salvador,442,
83,Madagascar,442,
84,Philippines,442,
85,Japan,438,
86,Czechia,430,
87,Djibouti,430,
88,Congo,430,
89,Dominican Republic,424,
90,Libya,423,
91,Romania,414,
92,Somalia,410,
93,North Korea,400,
94,Vanuatu,398,
95,Vietnam,398,
96,New Zealand,388,
97,Kazakhstan,387,
98,Azerbaijan,384,
99,Nigeria,380,
100,Gabon,377,
101,France,375,
102,Portugal,372,
103,Indonesia,367,
104,Panama,360,
105,Mozambique,345,
106,Mali,343,
107,Jamaica,340,
108,Croatia,331,
109,Australia,330,
110,Luxembourg,325,
111,Egypt,321,
112,Brazil,320,
113,Sweden,320,
114,Iraq,312,
115,Oman,310,
116,Eswatini,305,
117,Nicaragua,298,
118,Burkina Faso,297,
119,Thailand,287,
120,South Korea,282,
121,Sierra Leone,279,
122,Mauritania,276,
123,Benin,273,
124,Germany,263,
125,Mauritania,257.7,
126,Benin,251.2,
127,Germany,244.7,
128,Mauritania,238.2,
129,Benin,231.7,
130,Germany,225.2,
131,Mauritania,218.7,
132,Benin,212.2,
133,Germany,205.7,
134,Mauritania,199.2,
135,Benin,192.7,
136,Germany,186.2,
137,Mauritania,179.7,
138,Benin,173.2,
139,Germany,166.7,
140,Mauritania,160.2,
141,Benin,153.7,
142,Germany,147.2,
143,Mauritania,140.7,
144,Benin,134.2,
145,Germany,127.7,
146,Mauritania,121.2,
147,Benin,114.7,
148,Germany,108.2,
149,Mauritania,101.7,
150,Benin,95.2,
151,Germany,88.7,
152,Mauritania,82.2,
153,Benin,75.7,
154,Germany,69.2,
155,Mauritania,62.7,
156,Benin,56.2,
157,Germany,49.7,
158,Mauritania,43.2,
159,Benin,36.7,
160,Germany,30.2,
161,Mauritania,23.7,
162,Benin,17.2,
163,Germany,10.7,
164,Mauritania,4.2,
165,Benin,-2.3,
166,Germany,-8.8,
167,Mauritania,-15.3,
168,Benin,-21.8,
169,Germany,-28.3,
170,Mauritania,-34.8,
171,Benin,-41.3,
172,Germany,-47.8,
173,Mauritania,-54.3,
174,Benin,-60.8,
175,Germany,-67.3,
176,Mauritania,-73.8,
177,Benin,-80.3,
178,Germany,-86.8,
179,Mauritania,-93.3,
180,Benin,-99.8,
181,Germany,-106.3,
182,Mauritania,-112.8,
183,Benin,-119.3,
184,Germany,-125.8,
185,Mauritania,-132.3,
186,Benin,-138.8,
187,Germany,-145.3,
188,Mauritania,-151.8,
189,Benin,-158.3,
