sid,name,units
8,Forest coverage,%
rank,country,datum
1,Suriname,90.2
2,Micronesia,89.74
3,Seychelles,89.45
4,Tuvalu,89.12
5,Palau,87.15
6,Gabon,85
7,Mozambique,78
8,Solomon Islands,78
9,North Korea,73
10,Finland,72
11,Belize,71.98
12,Laos,71.6
13,Bhutan,70.46
14,Guyana,70.26
15,Russia,70.17
16,Sri Lanka,70
17,Sweden,68.95
18,Japan,67
19,Zimbabwe,66.35
20,Republic of the Congo,65.7
21,Dominica,65
22,Brazil,64
23,Myanmar,63.64
24,Papua New Guinea,63.6
25,South Korea,63.2
26,Bosnia and Herzegovina,63
27,Slovenia,62.02
28,Estonia,61
29,Honduras,60
30,Latvia,60
31,Taiwan,60
32,Malaysia,59.5
33,Equatorial Guinea,58.18
34,Guinea-Bissau,57.36
35,Panama,56.93
36,Benin,54.93
37,Fiji,54.72
38,Timor-Leste,53.65
39,Peru,53.49
40,Bolivia,53.47
41,Colombia,53.32
42,Venezuela,51.68
43,Cambodia,51.56
44,Bahamas,51.45
45,Guatemala,51
46,Democratic Republic of the Congo,50
47,Zambia,50
48,Brunei,48.22
49,Angola,47.41
50,Austria,47.2
51,Indonesia,46.46
52,Paraguay,45.42
53,Montenegro,45.26
54,Cameroon,44.68
55,Senegal,44.09
56,Trinidad and Tobago,44.07
57,Croatia,44
58,Liechtenstein,43.75
59,Gambia,43
60,Ecuador,42
61,Georgia,41
62,Slovakia,40.8
63,Costa Rica,40
64,North Macedonia,40
65,Nicaragua,39.8
66,Belarus,38.6
67,Sierra Leone,38.39
68,Norway,37.42
69,Tanzania,37.22
70,Vietnam,37.14
71,Samoa,37
72,France,36.76
73,Spain,36.7
74,Vanuatu,36.67
75,Turkey,36.6
76,Central African Republic,36.53
77,Mexico,36.5
78,Italy,35
79,Canada,34.8
80,Portugal,34.8
81,Andorra,34.19
82,Argentina,34
83,Czech Republic,34
84,United States,33.84
85,Luxembourg,33.64
86,Lithuania,33
87,Bulgaria,32.69
88,Saint Vincent and the Grenadines,32.56
89,Germany,32
90,New Zealand,31.87
91,Switzerland,31.8
92,Thailand,31.68
93,Serbia,31.13
94,Jamaica,30.1
95,Mauritius,30
96,Haiti,30
97,Romania,29.02
98,Poland,28.8
99,Greece,28.43
100,Liberia,28.32
101,Sao Tome and Principe,28.01
102,Malawi,28
103,Saint Lucia,27.6
104,Dominican Republic,27.5
105,Guinea,27.35
106,Albania,26.84
107,Burkina Faso,24.78
108,Nepal,24.7
109,India,24.56
110,Cuba,24.47
111,Philippines,23.87
112,China,23
113,South Sudan,23
114,Hungary,23
115,Belgium,22.38
116,Madagascar,21.87
117,Chile,21
118,Antigua and Barbuda,21
119,Cape Verde,20.83
120,Uganda,20.74
121,Botswana,20.53
122,Saint Kitts and Nevis,19.16
123,Cyprus,18.81
124,Sudan,17.62
125,Ukraine,17
126,Australia,16
127,Morocco,15.66
128,Denmark,14.2
129,El Salvador,14.16
130,Togo,14
131,Lebanon,13.3
132,Eritrea,13.21
133,Azerbaijan,13.17
134,Nigeria,12
135,Rwanda,12
136,United Kingdom,11.76
137,Grenada,11.63
138,Somalia,11.18
139,Ireland,11.07
140,Ghana,10.2
141,Mali,10.14
142,Armenia,10
143,Moldova,9.72
144,Ivory Coast,9.3
145,Namibia,9.29
146,Chad,9.28
147,Netherlands,8.79
148,Turkmenistan,8.46
149,Niger,8
150,South Africa,7.31
151,Israel,7
152,Iran,6.72
153,Mongolia,6.55
154,Bangladesh,6.05
155,Tonga,5.35
156,Pakistan,5.31
157,Barbados,4.65
158,Burundi,4.5
159,Uzbekistan,4.4
160,Kyrgyzstan,4.35
161,Oman,4.22
162,Uruguay,4
163,United Arab Emirates,3.73
164,Ethiopia,3.56
165,Maldives,3.56
166,Singapore,3
167,Tajikistan,2.87
168,Syria,2.49
169,Kiribati,2.47
170,Kenya,2.27
171,Comoros,2.24
172,Kazakhstan,2
173,Iceland,2
174,Iraq,1.88
175,Algeria,1.7
176,San Marino,1.64
177,Tunisia,1.59
178,Palestine,1.45
179,Saudi Arabia,1.26
180,Jordan,1
181,Eswatini,1
182,Malta,0.95
183,Yemen,0.85
184,Bahrain,0.67
185,Kuwait,0.34
186,Mauritania,0.26
187,Lesotho,0.26
188,Djibouti,0.26
189,Afghanistan,0.25
190,Libya,0.12
191,Egypt,0.07
192,Qatar,0.07
