sid,name,units
12,Average Human Height,cm
rank,country,datum
1,Netherlands,177
2,Montenegro,177
3,Estonia,176
4,Denmark,176
5,Iceland,176
6,Bosnia and Herzegovina,175
7,Latvia,175
8,Czech Republic,174.6
9,Serbia,174.5
10,Lithuania,174.1
11,Slovenia,174.1
12,Slovakia,174
13,Croatia,173.8
14,Ukraine,173.8
15,Sweden,173.6
16,Dominica,173.5
17,Finland,173.5
18,Norway,173.4
19,Germany,173.2
20,Poland,173.2
21,Belarus,172.8
22,Cook Islands,172.8
23,Austria,172.7
24,Kosovo,172.6
25,Greece,172.5
26,Grenada,172.3
27,Antigua and Barbuda,172.2
28,Andorra,172.1
29,Niue,172.1
30,Luxembourg,171.8
31,Australia,171.7
32,Ireland,171.7
33,Canada,171.7
34,France,171.5
35,Switzerland,171.5
36,Saint Vincent and the Grenadines,171.4
37,Barbados,171.3
38,Lebanon,171.3
39,Belgium,171.2
40,Romania,171.2
41,New Zealand,171.2
42,United Kingdom,171
43,Saint Lucia,170.9
44,Jamaica,170.6
45,Tonga,170.6
46,Russia,170.5
47,United States,170.1
48,Senegal,170
49,Cape Verde,169.7
50,Trinidad and Tobago,169.7
51,China,169.6
52,Georgia,169.6
53,Hungary,169.5
54,Libya,169.5
55,Bulgaria,169.4
56,South Korea,169.3
57,Moldova,169.3
58,Tunisia,169.3
59,Seychelles,169.2
60,Fiji,169.1
61,Israel,169.1
62,Samoa,169.1
63,Turkey,169.1
64,Brazil,169
65,Spain,169
66,Bahamas,168.9
67,Morocco,168.8
68,Malta,168.7
69,Algeria,168.6
70,North Macedonia,168.6
71,Kazakhstan,168.6
72,Turkmenistan,168.6
73,Mali,168.5
74,Iran,168.4
75,Suriname,168.4
76,Saint Kitts and Nevis,168.2
77,Albania,168.1
78,Palestine,168.1
79,Italy,168.1
80,Argentina,168
81,North Korea,167.9
82,Uruguay,167.9
83,Dominican Republic,167.9
84,Portugal,167.8
85,Egypt,167.7
86,Azerbaijan,167.7
87,Botswana,167.6
88,Kuwait,167.5
89,Tuvalu,167.4
90,Singapore,167.4
91,United Arab Emirates,167.3
92,Costa Rica,167.2
93,Jordan,167.1
94,Taiwan,167.1
95,Qatar,167
96,Chad,166.9
97,Cuba,166.8
98,Armenia,166.8
99,Paraguay,166.8
100,Venezuela,166.7
101,Cyprus,166.6
102,Burkina Faso,166.6
103,Haiti,166.4
104,Cameroon,166.2
105,Iraq,166.2
106,Sudan,166.2
107,Chile,166.1
108,Kyrgyzstan,165.9
109,Mauritius,165.9
110,Guyana,165.9
111,Uzbekistan,165.6
112,Bahrain,165.5
113,Kiribati,165.5
114,Somalia,165.5
115,Syria,165.5
116,Thailand,165.5
117,Djibouti,165.3
118,Japan,165.3
119,Mongolia,165.3
120,Gabon,165.2
121,Zimbabwe,165.2
122,Sao Tome and Principe,165.1
123,Gambia,165
124,Niger,165
125,Oman,165
126,Palau,165
127,Namibia,165
128,Republic of the Congo,165
129,Colombia,164.9
130,Kenya,164.9
131,Nigeria,164.8
132,Guinea,164.7
133,Saudi Arabia,164.7
134,Federated States of Micronesia,164.6
135,Ghana,164.6
136,Togo,164.6
137,Vanuatu,164.4
138,Central African Republic,164.3
139,Belize,164.3
140,Panama,164.2
141,Eswatini,164.1
142,Eritrea,164.1
143,Mexico,164.1
144,South Africa,164.1
145,Nauru,163.7
146,Vietnam,163.6
147,Uganda,163.6
148,El Salvador,163.5
149,Guinea-Bissau,163.4
150,Ivory Coast,163.4
151,Benin,163.4
152,Angola,163.3
153,Tajikistan,163.2
154,Malaysia,163.1
155,Equatorial Guinea,163.1
156,Ethiopia,163
157,Mauritania,162.8
158,Nicaragua,162.7
159,Democratic Republic of the Congo,162.4
160,Zambia,162.4
161,Honduras,162.4
162,Afghanistan,162.3
163,Lesotho,162.3
164,Comoros,162.1
165,Sri Lanka,162
166,Tanzania,161.9
167,Bolivia,161.8
168,Sierra Leone,161.8
169,Rwanda,161.3
170,Ecuador,161.2
171,Burundi,161.2
172,Bhutan,161.1
173,Maldives,161.1
174,Pakistan,161
175,Liberia,161
176,Malawi,160.9
177,India,160.8
178,Myanmar,160.7
179,Brunei,160.6
180,Peru,160.6
181,Indonesia,160.3
182,Marshall Islands,160
183,Cambodia,160
184,Papua New Guinea,160
185,Solomon Islands,159.9
186,Mozambique,159.8
187,Philippines,159.6
188,Yemen,159.6
189,Madagascar,159.1
190,Bangladesh,158.7
191,Nepal,158.4
192,Laos,157.9
193,Guatemala,157.6
194,Timor-Leste,156.4
