sid,name,units,count
1,Greatest land area,km2,195
rank,country,datum,
1,Russia,16378410,
2,Canada,9093507,
3,China,9326410,
4,United States,9147593,
5,Brazil,8460415,
6,Australia,7633565,
7,India,2973190,
8,Argentina,2736690,
9,Kazakhstan,2699700,
10,Algeria,2381741,
11,DR Congo,2267048,
12,Saudi Arabia,2149690,
13,Mexico,1943945,
14,Indonesia,1811569,
15,Sudan,1731671,
16,Libya,1759540,
17,Iran,1531595,
18,Mongolia,1553556,
19,Peru,1279996,
20,Chad,1259200,
21,Niger,1266700,
22,Angola,1246700,
23,Mali,1220190,
24,South Africa,1214470,
25,Colombia,1038700,
26,Ethiopia,1096630,
27,Bolivia,1083301,
28,Mauritania,1025520,
29,Egypt,995450,
30,Tanzania,885800,
31,Nigeria,910768,
32,Venezuela,882050,
33,Pakistan,856690,
34,Namibia,823290,
35,Mozambique,786380,
36,Turkey,769632,
37,Chile,743812,
38,Zambia,743398,
39,Myanmar,653508,
40,Afghanistan,652867,
41,South Sudan,644329,
42,France,640427,
43,Somalia,627337,
44,Central African Republic,622984,
45,Ukraine,579300,
46,Madagascar,581540,
47,Botswana,566730,
48,Kenya,569140,
49,Yemen,527968,
50,Thailand,510890,
51,Spain,498980,
52,Turkmenistan,469930,
53,Cameroon,472710,
54,Papua New Guinea,452860,
55,Sweden,407284,
56,Uzbekistan,425400,
57,Morocco,446300,
58,Iraq,437367,
59,Paraguay,397302,
60,Zimbabwe,386847,
61,Norway,365957,
62,Japan,364546,
63,Germany,348672,
64,Congo,341500,
65,Finland,303816,
66,Vietnam,310070,
67,Malaysia,329613,
68,Ivory Coast,318003,
69,Poland,311888,
70,Oman,309500,
71,Italy,294140,
72,Philippines,298170,
73,Ecuador,256369,
74,Burkina Faso,273602,
75,New Zealand,262443,
76,Gabon,257667,
77,Guinea,245717,
78,United Kingdom,241930,
79,Uganda,197100,
80,Ghana,227533,
81,Romania,231291,
82,Laos,230800,
83,Guyana,196849,
84,Belarus,202900,
85,Kyrgyzstan,191801,
86,Senegal,192530,
87,Syria,183630,
88,Cambodia,176515,
89,Uruguay,175015,
90,Suriname,156000,
91,Tunisia,155360,
92,Bangladesh,134208,
93,Nepal,143686,
94,Tajikistan,141510,
95,Greece,130647,
96,Nicaragua,119990,
97,Eritrea,125000,
98,North Korea,120538,
99,Malawi,94080,
100,Benin,114305,
101,Honduras,111890,
102,Liberia,96320,
103,Bulgaria,108612,
104,Cuba,109884,
105,Guatemala,107159,
106,Iceland,100250,
107,South Korea,99909,
108,Hungary,89608,
109,Portugal,91119,
110,Jordan,88802,
111,Serbia,88246,
112,Azerbaijan,86100,
113,Austria,82445,
114,United Arab Emirates,83600,
115,Czechia,77171,
116,Panama,74340,
117,Sierra Leone,71620,
118,Ireland,68883,
119,Georgia,69700,
120,Sri Lanka,62732,
121,Lithuania,62680,
122,Latvia,62249,
123,Togo,54385,
124,Croatia,55974,
125,Bosnia and Herzegovina,51187,
126,Costa Rica,51060,
127,Slovakia,48105,
128,Dominican Republic,48320,
129,Estonia,42388,
130,Denmark,42434,
131,Netherlands,33893,
132,Switzerland,39997,
133,Bhutan,38394,
134,Guinea-Bissau,28120,
135,Moldova,32891,
136,Belgium,30278,
137,Lesotho,30355,
138,Armenia,28342,
139,Solomon Islands,27986,
140,Albania,27398,
141,Equatorial Guinea,28051,
142,Burundi,25680,
143,Haiti,27560,
144,Rwanda,24668,
145,North Macedonia,25433,
146,Djibouti,23180,
147,Belize,22806,
148,El Salvador,20721,
149,Israel,20330,
150,Slovenia,20151,
151,Fiji,18274,
152,Kuwait,17818,
153,Eswatini,17204,
154,Timor-Leste,14919,
155,Bahamas,10010,
156,Montenegro,13452,
157,Vanuatu,12189,
158,Qatar,11586,
159,Gambia,10000,
160,Jamaica,10831,
161,Lebanon,10230,
162,Cyprus,9241,
163,Palestine,6000,
164,Brunei,5265,
165,Trinidad and Tobago,5128,
166,Cabo Verde,4033,
167,Samoa,2821,
168,Luxembourg,2586,
169,Mauritius,2030,
170,Comoros,1862,
171,Sao Tome and Principe,964,
172,Kiribati,811,
173,Bahrain,786,
174,Dominica,751,
175,Tonga,717,
176,Singapore,716,
177,Micronesia,702,
178,Saint Lucia,606,
179,Andorra,468,
180,Palau,459,
181,Seychelles,455,
182,Antigua and Barbuda,442,
183,Barbados,431,
184,Saint Vincent and the Grenadines,389,
185,Grenada,344,
186,Malta,316,
187,Maldives,298,
188,Saint Kitts and Nevis,261,
189,Marshall Islands,181,
190,Liechtenstein,160,
191,San Marino,61,
192,Tuvalu,26,
193,Nauru,21,
194,Monaco,2,
195,Vatican City,0.49,
