sid,name,units,count
3,Longest coastline,km,
rank,country,datum,
1,Canada,265523,
2,United States,133312,
3,Russia,110310,
4,Indonesia,95181,
5,Chile,78563,
6,Australia,66530,
7,Norway,53199,
8,Philippines,33900,
9,Brazil,33379,
10,Finland,31119,
11,China,30017,
12,Japan,29020,
13,Sweden,26384,
14,Mexico,23761,
15,Papua New Guinea,20197,
16,United Kingdom,19717,
17,New Zealand,17209,
18,India,17181,
19,Greece,15147,
20,Myanmar,14708,
21,Cuba,14519,
22,South Korea,12478,
23,Vietnam,11409,
24,Bahamas,11238,
25,Madagascar,9935,
26,Solomon Islands,9880,
27,Malaysia,9323,
28,Italy,9226,
29,Iceland,8506,
30,Argentina,8397,
31,Turkey,8140,
32,Saudi Arabia,7572,
33,France,7330,
34,Spain,7268,
35,Thailand,7066,
36,Mozambique,6942,
37,Venezuela,6762,
38,Ireland,6437,
39,Egypt,5898,
40,Iran,5891,
41,Colombia,5875,
42,Croatia,5664,
43,Panama,5637,
44,Denmark,5316,
45,Ukraine,4953,
46,Fiji,4638,
47,Ecuador,4597,
48,Kazakhstan,4528,
49,North Korea,4009,
50,Somalia,3898,
51,South Africa,3751,
52,Germany,3624,
53,Tanzania,3461,
54,Eritrea,3446,
55,Peru,3362,
56,Bangladesh,3306,
57,Guinea-Bissau,3176,
58,Yemen,3149,
59,Vanuatu,3132,
60,Nigeria,3122,
61,Estonia,2956,
62,United Arab Emirates,2871,
63,Portugal,2830,
64,Sri Lanka,2825,
65,Oman,2810,
66,Pakistan,2599,
67,Angola,2252,
68,Sudan,2245,
69,Marshall Islands,2106,
70,Costa Rica,2069,
71,Libya,2025,
72,Gabon,2019,
73,Morocco,2009,
74,Republic of China (Taiwan),2007,
75,Maldives,2002,
76,Belize,1996,
77,Haiti,1977,
78,Kiribati,1961,
79,Tunisia,1927,
80,Nicaragua,1915,
81,Netherlands,1914,
82,Honduras,1878,
83,Cameroon,1799,
84,Namibia,1754,
85,Uzbekistan,1707,
86,Sierra Leone,1677,
87,Guinea,1615,
88,Dominican Republic,1612,
89,Kenya,1586,
90,Algeria,1557,
91,Senegal,1327,
92,"Micronesia, Federated States of",1295,
93,Turkmenistan,1289,
94,Mauritania,1268,
95,Guyana,1154,
96,Cambodia,1127,
97,Cape Verde,1121,
98,Uruguay,1096,
99,Poland,1032,
100,Qatar,909,
101,Tonga,909,
102,Jamaica,895,
103,Azerbaijan,871,
104,Liberia,842,
105,Côte d'Ivoire (Ivory Coast),797,
106,Ghana,758,
107,Kuwait,756,
108,El Salvador,756,
109,Seychelles,747,
110,Trinidad and Tobago,704,
111,Romania,696,
112,Cyprus,671,
113,Albania,649,
114,Suriname,620,
115,Equatorial Guinea,603,
116,Latvia,566,
117,Gambia,503,
118,Mauritius,496,
119,Comoros,469,
120,Samoa,463,
121,Bulgaria,457,
122,Guatemala,445,
123,Djibouti,443,
124,Georgia,376,
125,Lebanon,294,
126,Antigua and Barbuda,289,
127,Brunei,269,
128,São Tomé and Príncipe,269,
129,Singapore,268,
130,Saint Vincent and the Grenadines,264,
131,Lithuania,258,
132,Bahrain,255,
133,Grenada,252,
134,Syria,212,
135,"Congo, Republic of the",205,
136,Israel,205,
137,Malta,198,
138,"Congo, Democratic Republic of the",177,
139,Saint Lucia,166,
140,Benin,153,
141,Dominica,152,
142,Iraq,105,
143,Barbados,97,
144,Belgium,76,
145,Togo,53,
146,Slovenia,41,
147,Jordan,27,
148,Bosnia and Herzegovina,23,
