sid,name,units
7,Longest natural cave,
rank,country,datum
1,United States,685.6
2,Mexico,435.8
3,China,400.759
4,Ukraine,264.576
5,Malaysia,255.9
6,Switzerland,209.812
7,Spain,181.633
8,Austria,155.6
9,Australia,120.4
10,France,117.2
11,Brazil,114
12,Madagascar,113
13,Moldova,92.08
14,United Kingdom,86.619
15,Italy,83.8
16,New Zealand,74.319
17,Russia,70.414
18,Croatia,59.03
19,Turkmenistan,57
20,Papua New Guinea,54.8
21,Cuba,54
22,Romania,47
23,Slovenia,43.009
24,Laos,42
25,Czech Republic,39.146
26,Slovakia,35.116
27,India,31.07
28,Hungary,31
29,Norway,25.167
30,Georgia,24.08
31,Philippines,24
32,Germany,23.8
33,Poland,23.723
34,Japan,23.7
35,Canada,21.311
36,Morocco,19.128
37,Vietnam,18.9
38,Algeria,18.4
39,Indonesia,18.2
40,Bulgaria,18.2
41,Venezuela,18.148
42,Uzbekistan,17.4
43,Turkey,16
44,Ireland,16
45,Greece,15.4
46,Ethiopia,15.1
47,Belize,15
48,Portugal,14
49,Thailand,13.7
50,Yemen,13.526
51,Iran,12.86
52,South Africa,12.302
53,South Korea,11.749
54,Myanmar,11
55,Belgium,10.693
56,Montenegro,10.55
57,Bahamas,10.363
58,Lebanon,10.05
59,Israel,10
60,Serbia,9.818
61,Bosnia and Herzegovina,9.682
62,Dominican Republic,9.3
63,Kenya,9.152
64,Kosovo,8.036
65,Tanzania,7.51
66,Honduras,6.69
67,Chile,6.35
68,Albania,5.905
69,Democratic Republic of the Congo,5.86
70,Haiti,5.3
71,Iraq,5.06
72,Iceland,5.013
73,Sweden,5
74,Samoa,5
75,Bolivia,4.6
76,Rwanda,4.53
77,Namibia,4.5
78,Oman,4.5
79,Tunisia,4.1
80,Ecuador,4.1
81,Peru,4.07
82,North Macedonia,3.932
83,Costa Rica,3.872
84,Vanuatu,3.702
85,Libya,3.593
86,Jamaica,3.505
87,Armenia,3.5
88,Argentina,3.432
89,Gabon,2.4
90,Nepal,2.057
91,Tajikistan,2.05
92,Cambodia,2.036
93,Colombia,2.021
94,Congo,1.5
95,Kazakhstan,1.5
96,Saudi Arabia,1.481
97,Pakistan,1.275
98,Angola,1.23
99,Afghanistan,1.22
100,Panama,1.146
101,Eswatini,1.099
102,Zimbabwe,1.037
103,Mozambique,0.942
104,Jordan,0.924
105,Comoros,0.81
106,Cameroon,0.45
107,Latvia,0.351
108,Nigeria,0.35
109,Uganda,0.342
110,Finland,0.3
111,Uruguay,0.3
112,Egypt,0.275
113,Mongolia,0.24
114,Chad,0.115
115,Denmark,0.103
116,Burundi,0.09
117,Lithuania,0.046
118,Equatorial Guinea,0.036
