sid,name,units
5,Most islands,
rank,country,datum
1,Sweden,267570
2,Norway,239057
3,Finland,178947
4,Japan,120729
5,Canada,52455
6,Chile,43471
7,United States,18617
8,Indonesia,17508
9,Australia,8222
10,Philippines,7641
11,China,6961
12,United Kingdom,6346
13,Greece,6000
14,Cuba,4195
15,South Korea,3358
16,Estonia,2355
17,France,1900
18,Thailand,1430
19,India,1382
20,Russia,1338
21,Croatia,1246
22,Maldives,1192
23,Italy,808
24,Venezuela,650
25,Micronesia,607
26,New Zealand,600
27,Denmark,406
28,Hong Kong,263
29,Algeria,240
30,Peru,233
31,Poland,203
32,Palau,200
33,Tonga,169
34,Singapore,64
35,Sri Lanka,61
36,Spain,60
37,Antigua and Barbuda,54
38,Senegal,35
39,Serbia,35
40,Marshall Islands,34
41,Netherlands,34
42,Kiribati,33
43,Iceland,31
44,North Macedonia,30
45,Bangladesh,23
46,Portugal,23
47,Malta,21
48,Azerbaijan,16
49,Cape Verde,15
50,Pakistan,12
51,Samoa,12
52,Tuvalu,9
53,Barbados,4
54,Dominica,3
55,Nauru,1
