sid,name,units
10,Greatest population,
rank,country,datum
1,China,"1,411,750,000"
2,India,"1,392,329,000"
3,United States,"335,466,000"
4,Indonesia,"278,696,200"
5,Pakistan,"241,499,431"
6,Nigeria,"216,783,400"
7,Brazil,"203,062,512"
8,Bangladesh,"169,828,911"
9,Russia,"146,424,729"
10,Mexico,"129,202,482"
11,Japan,"124,450,000"
12,Philippines,"110,717,000"
13,Ethiopia,"107,334,000"
14,Egypt,"105,388,000"
15,Vietnam,"100,000,000"
16,DR Congo,"95,370,000"
17,Iran,"85,298,600"
18,Turkey,"85,279,553"
19,Germany,"84,482,267"
20,Thailand,"68,263,022"
21,France,"68,184,000"
22,United Kingdom,"67,026,292"
23,Tanzania,"61,741,120"
24,South Africa,"60,604,992"
25,Italy,"58,780,965"
26,Myanmar,"55,770,232"
27,Colombia,"52,215,503"
28,Kenya,"51,526,000"
29,South Korea,"51,439,038"
30,Spain,"48,345,223"
31,Argentina,"46,654,581"
32,Algeria,"45,400,000"
33,Iraq,"43,324,000"
34,Uganda,"42,885,900"
35,Sudan,"41,984,500"
36,Ukraine,"41,130,432"
37,Canada,"40,403,700"
38,Poland,"37,691,000"
39,Morocco,"37,113,500"
40,Uzbekistan,"36,372,276"
41,Afghanistan,"34,262,840"
42,Peru,"33,396,698"
43,Malaysia,"33,379,500"
44,Angola,"33,086,278"
45,Mozambique,"32,419,747"
46,Saudi Arabia,"32,175,224"
47,Yemen,"31,888,698"
48,Ghana,"30,832,019"
49,Ivory Coast,"29,389,150"
50,Nepal,"29,164,578"
51,Venezuela,"28,302,000"
52,Cameroon,"28,088,845"
53,Madagascar,"26,923,353"
54,Australia,"26,781,100"
55,North Korea,"25,660,000"
56,Niger,"25,369,415"
57,Syria,"22,923,000"
58,Mali,"22,395,489"
59,Burkina Faso,"22,185,654"
60,Sri Lanka,"22,037,000"
61,Malawi,"21,507,723"
62,Chile,"19,960,889"
63,Kazakhstan,"19,944,726"
64,Zambia,"19,610,769"
65,Romania,"19,051,562"
66,Ecuador,"18,380,600"
67,Senegal,"18,275,743"
68,Somalia,"18,143,379"
69,Netherlands,"17,932,900"
70,Guatemala,"17,602,431"
71,Chad,"17,414,717"
72,Cambodia,"17,091,464"
73,Zimbabwe,"15,178,979"
74,Guinea,"13,261,638"
75,South Sudan,"13,249,924"
76,Rwanda,"13,246,394"
77,Burundi,"12,837,740"
78,Benin,"12,606,998"
79,Bolivia,"12,006,031"
80,Tunisia,"11,850,232"
81,Papua New Guinea,"11,781,559"
82,Belgium,"11,772,639"
83,Haiti,"11,743,017"
84,Jordan,"11,482,900"
85,Cuba,"11,089,511"
86,Czech Republic,"10,873,553"
87,Dominican Republic,"10,760,028"
88,Sweden,"10,548,336"
89,Greece,"10,482,487"
90,Portugal,"10,467,366"
91,Azerbaijan,"10,151,517"
92,Tajikistan,"10,077,600"
93,Israel,"9,795,000"
94,Honduras,"9,745,149"
95,Hungary,"9,597,085"
96,United Arab Emirates,"9,282,410"
97,Belarus,"9,200,617"
98,Austria,"9,129,652"
99,Switzerland,"8,902,308"
100,Sierra Leone,"8,494,260"
101,Togo,"8,095,498"
102,Laos,"7,443,000"
103,Kyrgyzstan,"7,100,000"
104,Turkmenistan,"7,057,841"
105,Libya,"6,931,061"
106,El Salvador,"6,884,888"
107,Nicaragua,"6,733,763"
108,Serbia,"6,641,197"
109,Bulgaria,"6,447,710"
110,Paraguay,"6,109,644"
111,Congo,"6,106,869"
112,Denmark,"5,944,145"
113,Singapore,"5,917,600"
114,Central African Republic,"5,633,412"
115,Finland,"5,557,272"
116,Norway,"5,514,042"
117,Lebanon,"5,490,000"
118,Palestine,"5,483,450"
119,Slovakia,"5,426,352"
120,Ireland,"5,281,600"
121,Costa Rica,"5,262,225"
122,New Zealand,"5,223,100"
123,Oman,"5,113,071"
124,Kuwait,"4,670,713"
125,Liberia,"4,661,010"
126,Mauritania,"4,475,683"
127,Panama,"4,337,406"
128,Croatia,"3,855,641"
129,Eritrea,"3,748,902"
130,Georgia,"3,736,400"
131,Uruguay,"3,566,550"
132,Mongolia,"3,457,548"
133,Bosnia and Herzegovina,"3,277,082"
134,Armenia,"2,981,200"
135,Lithuania,"2,866,965"
136,Jamaica,"2,825,544"
137,Albania,"2,761,785"
138,Qatar,"2,656,032"
139,Namibia,"2,641,857"
140,Moldova,"2,512,758"
141,Gambia,"2,417,471"
142,Botswana,"2,410,338"
143,Lesotho,"2,306,000"
144,Gabon,"2,233,272"
145,Slovenia,"2,117,674"
146,Latvia,"1,882,000"
147,North Macedonia,"1,832,696"
148,Guinea-Bissau,"1,781,308"
149,Bahrain,"1,577,059"
150,Equatorial Guinea,"1,558,160"
151,Estonia,"1,365,884"
152,Trinidad and Tobago,"1,365,805"
153,East Timor,"1,354,662"
154,Mauritius,"1,261,041"
155,Eswatini,"1,223,362"
156,Djibouti,"1,001,454"
157,Cyprus,"918,100"
158,Fiji,"893,468"
159,Bhutan,"770,276"
160,Comoros,"758,316"
161,Guyana,"743,699"
162,Solomon Islands,"734,887"
163,Luxembourg,"660,809"
164,Montenegro,"616,695"
165,Suriname,"616,500"
166,Malta,"519,562"
167,Cape Verde,"491,233"
168,Brunei,"445,400"
169,Belize,"441,471"
170,Bahamas,"397,360"
171,Iceland,"394,200"
172,Maldives,"382,751"
173,Vanuatu,"301,295"
174,Barbados,"267,800"
175,Sao Tome and Principe,"214,610"
176,Samoa,"205,557"
177,Saint Lucia,"178,696"
178,Kiribati,"120,740"
179,Grenada,"112,579"
180,Saint Vincent and the Grenadines,"110,872"
181,Micronesia,"105,754"
182,Antigua and Barbuda,"100,772"
183,Seychelles,"100,447"
184,Tonga,"100,179"
185,Andorra,"83,523"
186,Dominica,"67,408"
187,Saint Kitts and Nevis,"47,195"
188,Marshall Islands,"42,418"
189,Liechtenstein,"39,680"
190,Monaco,"39,050"
191,San Marino,"33,881"
192,Palau,"16,733"
193,Nauru,"11,832"
194,Tuvalu,"10,679"
195,Vatican City,764
